Recipient APHP_F1 APHP_F10 APHP_F2 APHP_F3 APHP_F4 APHP_F5 APHP_F6 APHP_F7 APHP_F8 APHP_F9 APHP_M1 APHP_M10 APHP_M2 APHP_M3 APHP_M5 APHP_M6 APHP_M7 APHP_M8 APHP_M9 APLP_F1 APLP_F10 APLP_F2 APLP_F3 APLP_F4 APLP_F5 APLP_F6 APLP_F7 APLP_F8 APLP_M1 APLP_M10 APLP_M2 APLP_M3 APLP_M4 APLP_M5 APLP_M6 APLP_M7 APLP_M8 APLP_M9 GH1 GH10 GH11 GH12 GH13 GH14 GH15 GH17 GH18 GH19 GH2 GH20 GH3 GH4 GH5 GH6 GH7 GH8 GH9 GL1 GL10 GL11 GL12 GL13 GL14 GL15 GL16 GL17 GL18 GL19 GL2 GL20 GL5 GL6 GL7 GL8 GL9 LMD_F11 LMD_F12 LMD_F13 LMD_F14 LMD_F15 LMD_F16 LMD_F17 LMD_F19 LMD_F20 LMD_F21 LMD_M08 LMD_M09 LMD_M1 LMD_M10 LMD_M2 LMD_M3 LMD_M4 LMD_M5 LMD_M6 LMD_M7 LO1 LO10 LO11 LO12 LO13 LO15 LO16 LO17 LO18 LO19 LO2 LO20 LO21 LO22 LO3 LO4 LO5 LO6 LO7 LT_F16 LT_F18 LT_F19 LT_F23 LT_F24 LT_M1 LT_M11 LT_M12 LT_M14 LT_M15 LT_M5 LT_M8 UMD_F09 UMD_F10 UMD_F11 UMD_F12 UMD_F13 UMD_F14 UMD_F15 UMD_F16 UMD_M1 UMD_M2 UMD_M3 UMD_M4 UMD_M5 UMD_M6 UMD_M7 UMD_M8 UQ1 UQ10 UQ11 UQ12 UQ13 UQ14 UQ15 UQ16 UQ17 UQ18 UQ19 UQ2 UQ20 UQ3 UQ4 UQ5 UQ6 UQ7 UQ8 UQ9 UT_F11 UT_F14 UT_F15 UT_F16 UT_F18 UT_F19 UT_F21 UT_M10 UT_M2 UT_M3 UT_M4 UT_M7 UT_M8 UT_M9
APLP_M8 9.569218 8.120819 8.180731 8.08089 7.577833 9.240453 8.04225 9.002831 7.967569 8.460067 8.216284 8.71812 7.806816 8.249474 8.509529 8.240414 8.779494 8.021589 8.516845 11.095328 10.487511 11.615406 12.031864 11.28353 11.437782 10.64654 11.861016 11.208011 11.319721 10.424059 10.757437 11.821928 12.209358 12.460278 12.346361 11.898038 0 9.679435 5.634797 5.736189 5.482814 5.686406 5.592073 5.727185 5.741545 5.734483 5.66671 5.81193 5.68718 5.691023 5.673716 5.659454 5.803876 5.772287 5.95809 5.68114 5.658171 5.227725 5.214114 5.246099 5.127543 5.298948 5.310282 5.249093 5.21962 5.226601 5.172706 5.224859 5.264839 5.235411 5.244265 5.317903 5.161047 5.247772 5.226521 3.246411 3.22678 3.23109 3.221249 3.232363 3.31448 3.247003 3.320284 3.332541 3.231855 3.227759 3.243104 3.230361 3.248909 3.236043 3.251142 3.325143 3.218868 3.247574 3.22178 3.774223 3.831172 4.080873 3.998577 3.949009 3.852213 3.715637 3.86529 4.084944 3.812838 4.044064 3.810457 3.684629 3.704903 4.282198 3.852659 3.783302 3.845022 3.806775 5.109718 5.046692 5.13687 5.102842 5.082251 5.112201 5.103667 5.090304 5.10453 5.114122 5.093462 5.102123 3.279932 3.294586 3.359796 3.295157 3.298456 3.28663 3.304075 3.253164 3.272313 3.349986 3.303631 3.310666 3.255867 3.284696 3.326398 3.287894 3.57056 3.572431 3.663923 3.664509 3.745902 3.605134 3.566922 3.609801 3.648135 3.656814 3.814735 3.598417 3.677435 3.632123 3.656137 3.644781 3.572696 3.65447 3.686782 3.674055 4.877991 4.881887 4.873622 4.896679 4.86979 4.872853 4.863748 4.872371 4.875644 4.87656 4.87148 4.878632 4.877519 4.869703
APLP_M9 8.170061 7.933306 7.862282 7.819776 7.055326 8.350078 7.669906 8.161605 7.510431 7.778076 7.43901 7.640166 7.31283 7.381224 7.542224 7.616489 8.012099 7.824847 7.454999 9.630719 9.830856 10.543289 10.59399 10.123953 9.71018 11.085873 9.790529 10.574396 9.907977 10.426068 10.719522 10.968268 10.139822 10.621495 10.547554 9.727285 9.535218 0 6.02677 6.215242 6.206109 6.020484 6.299364 6.289838 6.170916 6.112724 6.177851 6.279592 6.05205 6.074963 6.204303 6.133929 6.233208 6.214949 6.181547 6.055426 6.097812 5.569329 5.588229 5.561115 5.586147 5.57074 5.547056 5.568734 5.597076 5.542666 5.589122 5.551409 5.5704 5.593779 5.559229 5.538688 5.555128 5.544542 5.560012 3.357887 3.343046 3.372653 3.329376 3.354601 3.50412 3.360269 3.386052 3.466011 3.355522 3.356493 3.359983 3.361848 3.36439 3.370405 3.378403 3.416414 3.340903 3.385288 3.348256 3.904653 4.011508 4.112327 4.036069 4.110014 3.97446 3.809768 3.979927 4.181308 3.939949 4.186851 3.935351 3.823804 3.831206 4.385992 4.090575 3.887385 4.102619 3.975091 5.494077 5.456924 5.446452 5.464734 5.389541 5.459141 5.460833 5.427316 5.473497 5.509848 5.447058 5.40031 3.397715 3.428111 3.469376 3.431524 3.442088 3.430513 3.447322 3.389791 3.400414 3.460694 3.45354 3.430731 3.403049 3.413551 3.444572 3.410366 3.673912 3.730894 3.761995 3.748274 3.817491 3.698867 3.736969 3.774493 3.748219 3.774042 3.884513 3.761428 3.853171 3.833045 3.790735 3.806803 3.675404 3.80282 3.764737 3.803329 5.183122 5.199444 5.173785 5.215825 5.188393 5.189272 5.209993 5.21327 5.186864 5.188311 5.189384 5.193799 5.192644 5.177737
GH1 4.958396 5.14172 5.654854 5.409465 5.83424 5.340042 5.698466 5.427818 5.639243 5.403327 5.769095 5.38688 5.334421 5.746727 5.330714 5.268979 5.102183 5.487191 4.935855 5.566473 5.611048 5.972888 5.874795 5.288598 5.425119 5.287104 6.00337 5.869634 5.568735 5.435227 5.523862 5.40015 5.47216 5.205778 5.245425 5.570413 5.533614 5.796424 0 11.727953 9.829223 10.641731 10.226056 10.477831 10.388918 10.467366 10.37655 10.119482 10.199904 11.040826 10.99188 10.943221 11.972895 11.328401 10.313891 10.726196 10.96958 9.612345 9.665177 9.621819 9.258438 9.767838 9.75345 9.464656 9.578812 9.577522 9.204111 9.520296 9.578163 9.505071 9.57238 9.871858 9.216158 9.617091 9.754659 3.088088 3.085794 3.106028 3.074553 3.103428 3.141783 3.090616 3.131311 3.215939 3.083882 3.081767 3.087697 3.098501 3.09051 3.089076 3.090687 3.155957 3.075307 3.12275 3.087644 3.575706 3.714756 4.143924 4.028104 3.812306 3.633223 3.518547 3.721463 4.127656 3.644327 3.920182 3.643323 3.562985 3.576567 4.355423 3.767959 3.56411 3.859014 3.703914 5.259585 5.218332 5.27992 5.294174 5.228975 5.225749 5.209866 5.275915 5.286542 5.233598 5.304694 5.287711 3.126793 3.114389 3.161657 3.151798 3.120782 3.163725 3.11794 3.105992 3.081789 3.154439 3.151688 3.11002 3.122471 3.138879 3.129967 3.129975 3.433653 3.443404 3.443726 3.470423 3.507337 3.430214 3.415592 3.501118 3.465429 3.438701 3.595522 3.440697 3.548953 3.520576 3.484217 3.508418 3.41762 3.488188 3.471861 3.488466 5.027479 5.0246 5.006017 5.020496 5.030705 5.029973 5.043553 5.035442 5.037268 5.022203 5.025913 5.023483 5.0343 5.029123
GH10 4.79746 5.07991 5.405339 5.43463 5.655846 5.193681 5.327158 5.368877 5.546489 5.388388 5.623094 5.254127 5.300537 5.610612 5.225636 5.219699 5.020004 5.500062 4.942068 5.816535 5.718062 5.980784 6.028865 5.26221 5.545484 5.336574 5.982204 6.021541 5.584459 5.392595 5.555774 5.404985 5.582234 5.345013 5.316693 5.489829 5.494516 5.876395 10.935502 0 10.888965 11.369121 11.050162 11.681602 11.240306 11.501261 11.111101 11.078374 10.938011 11.59776 12.511915 12.059304 12.843434 11.820321 10.709745 11.578778 11.600023 9.172944 9.331188 9.15469 8.886942 9.346406 9.341439 9.033721 9.168517 9.158064 8.931985 9.133602 9.099696 9.122884 9.1982 9.405305 8.84109 9.183438 9.291239 3.0503 3.046576 3.06911 3.035934 3.066891 3.114294 3.055737 3.074358 3.142615 3.04888 3.033627 3.058568 3.069038 3.04901 3.040884 3.041758 3.111042 3.034582 3.072852 3.067034 3.580524 3.723612 4.014656 3.934162 3.721894 3.546576 3.476308 3.71079 4.01331 3.561403 3.888727 3.573576 3.481456 3.538735 4.242886 3.693776 3.509301 3.754498 3.699082 5.211377 5.208349 5.227242 5.28833 5.16261 5.227441 5.21052 5.212796 5.252637 5.237027 5.299621 5.214563 3.070471 3.062925 3.098775 3.114533 3.079047 3.107172 3.07484 3.078559 3.053644 3.075154 3.099975 3.052785 3.088067 3.059764 3.064804 3.091584 3.3544 3.365769 3.378285 3.42059 3.447764 3.341742 3.309114 3.382402 3.411047 3.388016 3.513795 3.342595 3.437603 3.450315 3.419068 3.469103 3.352029 3.447963 3.422431 3.404872 4.951635 4.943977 4.954784 4.963826 4.970451 4.962237 4.988976 4.97799 4.977428 4.956878 4.961012 4.957046 4.968833 4.95668
GH11 5.106802 5.31711 5.433171 5.613239 5.400715 5.434032 5.567004 5.423047 5.74098 5.310315 5.687712 5.369707 5.369809 5.478574 5.452145 5.415234 5.249606 5.600698 5.280323 5.630592 5.803978 5.807635 5.879408 5.316552 5.73623 5.563505 5.625539 5.706283 5.548436 5.58512 5.529247 5.257748 5.40507 5.428957 5.543831 5.443536 5.369558 6.022241 9.887184 11.386691 0 10.308233 10.835963 10.856327 10.631994 10.71693 10.567639 11.169473 10.150055 10.629137 10.627623 11.086 11.369641 10.309155 10.333366 10.467652 11.40308 8.42778 8.546364 8.474256 8.643425 8.277436 8.378319 8.450669 8.450942 8.500046 8.726589 8.478608 8.536787 8.463068 8.463918 8.352804 8.711503 8.447479 8.553051 3.297283 3.301705 3.324318 3.275837 3.319507 3.389142 3.294106 3.310603 3.373979 3.320401 3.305577 3.300243 3.312779 3.288291 3.296235 3.29513 3.344493 3.289229 3.315282 3.30783 3.845055 3.959241 4.10834 4.022193 4.05406 3.881126 3.738091 3.983142 4.138808 3.904481 4.221903 3.927679 3.797978 3.845512 4.325292 4.011761 3.843236 4.120992 4.019655 5.346639 5.351077 5.348219 5.363035 5.27851 5.357687 5.36806 5.32387 5.367582 5.296763 5.336239 5.335838 3.347058 3.332939 3.366441 3.371274 3.349431 3.364988 3.345039 3.339187 3.300766 3.367102 3.400553 3.33232 3.369609 3.325981 3.33709 3.349967 3.643626 3.680318 3.695674 3.745739 3.745681 3.625227 3.625822 3.764837 3.693396 3.690678 3.834511 3.655544 3.743631 3.766757 3.683859 3.813773 3.65801 3.769498 3.702485 3.70565 5.095629 5.103446 5.097374 5.109957 5.106721 5.107843 5.122749 5.114276 5.107127 5.100965 5.101597 5.09817 5.101536 5.100278
GH12 4.726096 4.950602 5.489662 5.277464 5.689523 5.213717 5.232749 5.373198 5.495068 5.441064 5.740631 5.191616 5.248102 5.56495 5.192707 5.162364 4.898921 5.389747 4.864129 5.62437 5.56694 5.982067 5.79917 5.160308 5.468108 5.311637 6.072275 5.897625 5.58049 5.390969 5.386046 5.299338 5.454106 5.271838 5.251029 5.501145 5.515767 5.749766 10.661041 12.144615 10.47376 0 10.644633 10.798105 11.122245 10.645517 10.914737 10.378654 10.501732 11.042535 10.911962 11.410327 12.400046 10.642412 10.477293 11.264086 10.937224 9.932556 9.966107 9.807657 9.687437 10.116948 10.147014 9.926861 9.907628 9.9087 9.63678 9.944162 9.992063 9.917632 9.884324 10.179965 9.684306 9.915227 9.97735 3.029575 3.010123 3.034073 2.997638 3.033135 3.074088 3.034983 3.040784 3.107787 3.035183 3.014236 3.023718 3.031315 3.020696 3.022539 3.007942 3.057035 3.008891 3.050896 3.014973 3.482916 3.613756 4.028778 3.942433 3.676492 3.546435 3.424364 3.681892 4.04265 3.511909 3.822265 3.544058 3.431296 3.479287 4.205643 3.671806 3.460501 3.718381 3.714198 5.204116 5.185602 5.201506 5.235236 5.17946 5.214336 5.198496 5.177203 5.223138 5.18375 5.266855 5.176101 3.037893 3.04858 3.067328 3.09745 3.038095 3.070918 3.033979 3.042155 3.025948 3.06016 3.065432 3.02499 3.049538 3.039957 3.040903 3.050231 3.297409 3.355089 3.352291 3.396816 3.417347 3.330247 3.290961 3.374761 3.353104 3.334933 3.49163 3.312628 3.409879 3.419622 3.386917 3.439429 3.332123 3.412364 3.393332 3.365703 4.974968 4.961267 4.969149 4.981779 4.985141 4.980178 5.006764 4.997187 4.997724 4.9876 4.989579 4.977223 4.988164 4.988746
GH13 5.187972 5.497904 5.516134 5.774994 5.537339 5.596367 5.374227 5.395413 5.689999 5.475433 5.594538 5.45151 5.337977 5.604371 5.419867 5.297912 5.348683 5.711213 5.127425 5.933302 5.911865 6.033014 5.961323 5.491726 5.540183 5.69976 5.876925 5.973015 5.885492 5.700249 5.777842 5.606096 5.799599 5.383273 5.561084 5.600121 5.468712 6.075 10.013428 11.346044 10.688688 10.434138 0 17.414441 10.608373 11.205211 10.858822 10.50296 10.420887 10.983488 11.111467 10.986307 11.723483 11.456667 10.170263 10.466537 10.751711 8.727489 8.82229 8.74187 8.67077 8.889455 8.946089 8.798381 8.78905 8.729084 8.618694 8.947102 8.724805 8.693635 8.656581 8.866007 8.612948 8.723026 8.828572 3.098129 3.095794 3.110309 3.080346 3.115509 3.18407 3.106394 3.125411 3.198511 3.096979 3.100968 3.097029 3.104119 3.102671 3.097252 3.100559 3.158119 3.081104 3.126105 3.099305 3.592922 3.803023 4.005135 3.900623 3.834919 3.684054 3.537633 3.75947 3.996432 3.628139 3.95602 3.637511 3.551116 3.585793 4.301065 3.775013 3.592335 3.849372 3.755812 5.317333 5.344383 5.319826 5.34076 5.290482 5.327278 5.318289 5.324038 5.35969 5.295781 5.405967 5.308239 3.144725 3.119727 3.15295 3.159538 3.137961 3.150842 3.148949 3.121765 3.120333 3.156003 3.156033 3.110293 3.158307 3.115726 3.143306 3.160858 3.408261 3.42549 3.476019 3.488963 3.541444 3.418092 3.431489 3.480659 3.473639 3.465792 3.593315 3.431467 3.551476 3.512976 3.483345 3.543573 3.446531 3.521604 3.495201 3.538153 5.020473 5.015344 5.014278 5.026056 5.02006 5.031609 5.055926 5.045412 5.03444 5.015702 5.02448 5.014189 5.025014 5.017503
GH14 5.022375 5.281034 5.50353 5.733782 5.650494 5.419487 5.451104 5.400318 5.702137 5.518044 5.684295 5.480507 5.330983 5.642904 5.435762 5.242244 5.213743 5.633326 5.164448 5.916913 5.759163 6.074205 5.966187 5.320279 5.639074 5.623999 5.922481 5.793389 5.52752 5.639882 5.710571 5.650344 5.776968 5.278797 5.468308 5.657257 5.587377 6.03894 10.117859 11.955799 10.517718 10.467818 16.909989 0 10.705881 10.886846 10.81864 10.741072 10.438655 11.556169 11.35209 10.789743 11.729251 12.079575 10.327476 10.572476 10.725834 8.419256 8.484889 8.474852 8.319114 8.535048 8.612842 8.575725 8.477955 8.47166 8.343945 8.3975 8.438515 8.396786 8.336207 8.629285 8.211351 8.416419 8.394243 3.162852 3.17785 3.187358 3.158079 3.201853 3.256048 3.16586 3.202676 3.285721 3.183414 3.178661 3.170456 3.186519 3.178851 3.164601 3.168514 3.224887 3.157852 3.189894 3.183838 3.666582 3.85416 4.129205 4.004518 3.915885 3.728205 3.649176 3.830303 4.100603 3.707306 4.001956 3.736307 3.61081 3.671985 4.450919 3.866117 3.702151 3.891564 3.828274 5.317977 5.31883 5.320682 5.329664 5.268851 5.334613 5.385989 5.294165 5.339826 5.320534 5.429759 5.34931 3.21123 3.202449 3.240126 3.237411 3.235932 3.248071 3.195236 3.206178 3.183811 3.242429 3.245991 3.20412 3.220981 3.198051 3.217213 3.223904 3.49067 3.504626 3.51459 3.543306 3.598652 3.472381 3.504398 3.546629 3.553859 3.555292 3.681015 3.504859 3.60696 3.585708 3.577093 3.625928 3.52284 3.59029 3.574533 3.603615 5.016349 5.006692 4.996589 5.002308 5.003072 5.00555 5.035985 5.020073 5.020202 5.021201 5.014076 4.998462 5.022993 5.002441
GH15 4.873155 5.065363 5.510436 5.441274 5.588236 5.225453 5.406585 5.392217 5.601558 5.354906 5.529022 5.252801 5.332426 5.502576 5.256286 5.33247 4.928508 5.469431 5.034276 5.657464 5.561344 5.907734 5.833161 5.246632 5.73972 5.522389 5.784799 5.789614 5.596717 5.470556 5.697561 5.368304 5.5252 5.223942 5.388488 5.620202 5.585207 5.931853 10.408256 11.867313 10.606907 10.968698 10.687732 11.0886 0 10.937791 11.059439 10.832189 11.260305 10.917903 11.11401 10.925313 11.613714 11.338163 10.367319 10.352769 11.102867 8.96663 9.120426 9.044127 8.982335 9.040115 9.102156 8.960512 9.020409 9.002722 8.971068 9.030513 8.97628 9.022941 8.922306 9.088582 8.924178 8.968641 9.069216 3.183425 3.182727 3.202328 3.171874 3.201433 3.256342 3.189438 3.240963 3.263784 3.174598 3.19155 3.197217 3.234808 3.180117 3.18842 3.181169 3.261326 3.182422 3.205052 3.198992 3.66676 3.871661 4.068872 3.974972 3.943959 3.759667 3.659397 3.827664 4.069158 3.74837 4.049682 3.758225 3.647614 3.675037 4.379046 3.934485 3.708601 3.947135 3.852279 5.246946 5.177916 5.233365 5.244661 5.185673 5.230761 5.254721 5.223518 5.250767 5.222725 5.257434 5.225192 3.226165 3.200253 3.233632 3.26 3.215033 3.245336 3.210756 3.203538 3.184034 3.242438 3.247277 3.2211 3.232514 3.22236 3.237592 3.213858 3.497291 3.542969 3.547915 3.596037 3.649719 3.519647 3.518729 3.588493 3.552423 3.552649 3.670001 3.516607 3.670658 3.615849 3.577334 3.657822 3.51698 3.643795 3.559081 3.554645 4.970632 4.993027 4.972145 4.997758 4.971848 4.973454 4.995324 4.975348 4.980622 4.980147 4.964004 5.008196 4.977329 4.970106
GH17 4.910194 5.173755 5.504705 5.466828 5.613877 5.339081 5.387667 5.390446 5.616387 5.428823 5.630397 5.361175 5.292578 5.581233 5.273394 5.314647 5.05532 5.510978 5.064368 5.759974 5.718986 6.076815 5.974991 5.293417 5.560825 5.43928 5.951385 5.948685 5.60439 5.486343 5.583944 5.427671 5.608391 5.229879 5.383742 5.60099 5.594192 5.883141 10.514304 12.201565 10.773629 10.749895 11.376934 11.434558 11.068765 0 11.768181 10.905993 10.617524 11.718004 11.64711 11.458614 12.057574 11.26528 10.43856 11.09467 11.158145 8.895774 8.98715 8.902924 8.751244 9.200579 9.164086 8.931292 8.92097 8.933053 8.701535 9.022941 8.916644 8.933718 8.949051 9.179802 8.715495 8.868587 9.015926 3.112783 3.102793 3.131981 3.097939 3.11861 3.186673 3.118979 3.149241 3.216736 3.097506 3.106978 3.124776 3.132868 3.118297 3.109996 3.115948 3.176066 3.115318 3.13907 3.123797 3.5819 3.778678 4.092511 3.971739 3.836468 3.67538 3.569733 3.732211 4.086359 3.6519 3.972881 3.651732 3.551167 3.601702 4.298707 3.770163 3.578441 3.847217 3.746334 5.258803 5.280899 5.312862 5.340703 5.233678 5.271498 5.216279 5.257403 5.276098 5.26705 5.361785 5.24734 3.156355 3.147296 3.180214 3.171694 3.164643 3.184149 3.150697 3.140623 3.126271 3.181938 3.188529 3.148857 3.170593 3.163722 3.166651 3.166107 3.392689 3.43259 3.454 3.500475 3.565499 3.436116 3.418416 3.489428 3.513967 3.48831 3.607666 3.461862 3.555209 3.544862 3.502445 3.540941 3.449801 3.55486 3.498066 3.505825 4.977691 4.979975 4.967079 4.973678 4.988408 4.986237 5.017095 4.986707 4.992546 4.968916 4.977131 4.98025 4.979365 4.973631
GH18 4.861832 5.10886 5.294756 5.31917 5.370098 5.321353 5.535169 5.342964 5.668799 5.219005 5.37312 5.354721 5.350973 5.331478 5.35114 5.521678 5.095824 5.396114 5.131967 5.500781 5.561627 5.797178 5.919451 5.258943 5.840209 5.342375 5.557037 5.727286 5.56898 5.357226 5.513273 5.123391 5.389094 5.45172 5.522371 5.440243 5.552359 5.977617 10.365128 11.717261 10.542274 10.786635 11.08619 11.191409 11.165398 11.665804 0 10.629405 10.36184 10.946224 11.130964 11.149494 11.849387 10.673177 10.387364 10.536435 11.470203 8.868869 8.976563 8.984292 9.099671 8.807146 8.824754 8.84349 8.943769 8.912504 9.058993 8.922803 8.832309 8.933313 8.874474 8.811021 9.027877 8.866964 8.939939 3.264029 3.24935 3.316951 3.251379 3.268622 3.354364 3.266672 3.330601 3.414081 3.266785 3.25497 3.271829 3.275458 3.258939 3.238936 3.265924 3.366491 3.264541 3.272178 3.28797 3.792658 3.933553 4.031268 3.890169 4.024782 3.85141 3.740462 3.890042 4.01858 3.847217 4.158039 3.832842 3.746331 3.803845 4.239804 3.951944 3.786201 4.066701 3.955967 5.086831 5.055469 5.100278 5.092294 5.02714 5.059315 5.072724 5.094015 5.11322 5.120266 5.114561 5.123626 3.326204 3.309985 3.349163 3.333448 3.331617 3.327546 3.321096 3.304474 3.298815 3.342566 3.350827 3.304192 3.345381 3.325251 3.3234 3.356556 3.61971 3.635477 3.645648 3.674504 3.708851 3.581261 3.586746 3.747639 3.68663 3.652934 3.856643 3.596894 3.707334 3.722377 3.688067 3.760622 3.61407 3.783717 3.693577 3.679526 4.832766 4.82637 4.816395 4.828044 4.821687 4.842512 4.864023 4.842197 4.846415 4.827739 4.829504 4.829464 4.842779 4.831247
GH19 5.183429 5.388537 5.749235 5.691033 5.781856 5.466347 5.506622 5.679378 5.890191 5.680382 5.944657 5.604234 5.43023 5.788646 5.585013 5.484444 5.350248 5.72958 5.346955 5.973025 5.858895 6.033306 6.011816 5.409253 5.65282 5.588725 6.02634 5.913669 5.685069 5.636807 5.707844 5.53897 5.709514 5.49883 5.645842 5.655312 5.706946 6.087764 10.405747 11.760579 11.350851 10.411341 10.765057 11.273091 11.130652 10.880784 10.784112 0 10.299722 11.16866 11.180244 11.229298 11.545498 10.983459 10.164011 10.520693 10.634309 8.545326 8.612074 8.547782 8.337654 8.684011 8.783179 8.572959 8.509811 8.567218 8.405075 8.655789 8.489331 8.477559 8.551543 8.753009 8.276935 8.5692 8.602837 3.182297 3.178261 3.220973 3.177128 3.198874 3.241141 3.189581 3.232198 3.30502 3.196627 3.179771 3.196099 3.203569 3.205121 3.203122 3.195154 3.241419 3.173049 3.229253 3.1839 3.736457 3.868146 4.230545 4.146604 3.92287 3.773485 3.648958 3.861939 4.186657 3.770622 4.089179 3.799487 3.680806 3.685212 4.424267 3.882511 3.712266 3.938132 3.860703 5.287927 5.24283 5.310456 5.287458 5.22899 5.244902 5.25015 5.230928 5.316045 5.286551 5.343727 5.258485 3.209499 3.192371 3.237439 3.249751 3.208552 3.238631 3.194829 3.208329 3.1833 3.229043 3.227882 3.192099 3.221263 3.217903 3.211105 3.217436 3.500911 3.566175 3.566235 3.578033 3.63519 3.55112 3.490414 3.631726 3.582613 3.53487 3.703944 3.530616 3.644188 3.618083 3.586054 3.630026 3.52219 3.635582 3.578606 3.603361 4.972991 4.955278 4.969827 4.971572 4.973172 4.969778 4.983231 4.984344 4.974269 4.980848 4.972798 4.973245 4.990543 4.976759
GH2 4.914323 5.16131 5.400215 5.58703 5.557243 5.415021 5.482201 5.357537 5.65464 5.37917 5.647906 5.339446 5.382773 5.560648 5.396764 5.340723 5.047808 5.565493 5.053466 5.816918 5.741712 5.887574 5.887656 5.283959 5.498802 5.462165 5.959248 5.699025 5.536961 5.484723 5.58883 5.468423 5.660909 5.183511 5.376454 5.508895 5.650453 5.885461 10.400516 12.011475 10.515147 10.834062 10.814647 11.141193 11.778072 10.971087 10.597858 10.556683 0 10.817321 11.39305 11.322277 11.634079 11.088674 10.563203 11.073291 11.15706 9.051367 9.008332 8.838026 8.887201 8.981742 9.049908 8.927725 8.899852 8.916734 8.82614 8.936035 8.988127 8.952557 8.902623 9.134133 8.873719 8.955733 9.047571 3.155585 3.141077 3.158683 3.113954 3.159559 3.2354 3.163708 3.20759 3.253195 3.133197 3.144274 3.157211 3.224828 3.149053 3.143551 3.153216 3.234344 3.138052 3.186214 3.155149 3.637466 3.803471 4.101678 3.995886 3.859933 3.767441 3.676297 3.803135 4.099401 3.705164 4.040887 3.716928 3.611831 3.66089 4.348168 3.790163 3.685169 3.865358 3.814349 5.245773 5.26505 5.241681 5.278844 5.260262 5.259385 5.253479 5.264005 5.259553 5.251129 5.372659 5.247587 3.214735 3.199198 3.231303 3.225681 3.201686 3.225769 3.200089 3.180869 3.165648 3.220152 3.235055 3.214947 3.219833 3.201688 3.212348 3.207555 3.518761 3.487985 3.521472 3.521332 3.604775 3.473512 3.452656 3.50814 3.517267 3.517904 3.67404 3.480024 3.606205 3.579838 3.538359 3.580118 3.503842 3.602399 3.5143 3.527974 5.011619 4.995902 4.993165 5.001159 5.004685 5.003668 5.044261 5.015095 5.018729 5.008374 5.003138 5.001078 5.01434 5.002883
GH20 4.936077 5.11714 5.454845 5.503572 5.710664 5.411544 5.36245 5.385755 5.621046 5.529119 5.776382 5.381878 5.385317 5.690949 5.394448 5.347238 5.054588 5.652792 5.048611 5.867109 5.702732 6.009112 5.973469 5.293222 5.490408 5.400259 5.935242 5.799873 5.554748 5.482491 5.719566 5.403335 5.634611 5.336025 5.392199 5.478936 5.544774 5.847604 11.054849 12.117003 10.514754 11.040094 10.958288 11.88569 11.022876 11.505902 10.90472 10.84799 10.479862 0 11.574152 11.305931 11.898886 11.010824 10.230228 11.006264 10.938829 9.202836 9.265137 9.199943 8.988818 9.387094 9.420937 9.129823 9.279155 9.282098 9.032381 9.268961 9.145542 9.23548 9.182068 9.41857 8.952606 9.147971 9.259447 3.099556 3.051234 3.075968 3.039613 3.068624 3.146328 3.101188 3.083549 3.169608 3.056799 3.08428 3.075671 3.068057 3.079314 3.093831 3.083331 3.125968 3.067301 3.125078 3.07569 3.546833 3.721322 4.075593 3.98806 3.78121 3.632002 3.524433 3.745519 4.118167 3.625442 3.94295 3.618833 3.507912 3.547147 4.264621 3.708057 3.582218 3.830846 3.733887 5.256528 5.215727 5.204137 5.232229 5.215822 5.188081 5.212057 5.202298 5.314318 5.199675 5.297719 5.199809 3.111079 3.129809 3.137579 3.150544 3.123907 3.134585 3.132265 3.105138 3.106191 3.126611 3.173086 3.127567 3.137728 3.121399 3.11787 3.148953 3.371959 3.419262 3.425521 3.450562 3.480908 3.404563 3.415189 3.42855 3.425538 3.414814 3.566588 3.420812 3.523105 3.517252 3.476079 3.519345 3.395842 3.514069 3.476719 3.466854 4.967583 4.963264 4.942322 4.9599 4.968349 4.971919 5.001531 4.969837 4.972593 4.981997 4.96484 4.947541 4.967552 4.961368
