APLP	MADLP	TACHP	258.246	696.316	210.02	407.209	1283.5	129.718	895.24	1331.4	568.431
APLP	MADLP	TACLP	278.014	654.029	238.976	666.084	1283.5	192.823	1080.32	1322.4	568.431
APLP	OH	OL	223.652	210.08	915.488	716.388	758.001	587.466	12.3812	61.6752	573.955
APLP	OH	TACHP	258.719	702.105	211.235	406.23	758.001	129.718	898.227	807.492	573.955
APLP	OH	TACLP	276.483	657.814	239.977	666.084	758.001	192.823	1083.51	797.381	573.955
APLP	OL	TACHP	252.556	709.515	207.321	406.713	716.388	129.718	909.137	762.336	586.855
APLP	OL	TACLP	271.566	666.469	234.384	666.084	716.388	192.823	1097.76	755.351	587.466
APLP	TACHP	TACLP	157.212	95.1566	583.616	666.084	406.059	193.823	177.786	-17.3777	130.718
GH	GL	MADHP	716.627	184.193	163.881	904.106	190.789	574.251	924.637	742.441	42.0323
GH	GL	MADLP	703.838	204.244	154.268	906.074	190.789	540.601	956.225	739.306	42.0323
GH	GL	OH	725.024	206.752	159.101	392.951	190.789	559.816	441.398	755.809	42.0323
GH	GL	OL	757.845	195.559	161.145	382.737	190.789	604.49	417.264	786.821	42.0323
GH	GL	TACHP	717.672	152.204	227.094	532.93	190.789	607.297	458.105	682.204	41.4073
GH	GL	TACLP	730.21	142.463	235.496	752.815	190.789	631.513	659.666	686.221	42.0323
GH	MADHP	MADLP	108.08	140.92	909.828	906.074	904.106	540.601	134.903	105.905	574.251
GH	MADHP	OH	196.462	210.624	661.901	392.951	904.106	558.816	-61.7691	440.559	573.251
GH	MADHP	OL	237.887	208.035	664.727	382.737	904.106	604.49	-74.2428	479.284	574.251
GH	MADHP	TACHP	555.636	522.602	177.804	534.593	904.106	606.922	879.526	1282.13	573.81
GH	MADHP	TACLP	562.873	507.56	196.811	752.815	904.106	631.513	1062.29	1270.59	574.251
GH	MADLP	OH	194.031	175.353	683.543	392.951	906.074	559.79	-121.415	414.698	540.601
GH	MADLP	OL	241.072	178.38	672.28	382.737	906.074	604.462	-110.222	473.374	540.601
GH	MADLP	TACHP	586.711	520.836	160.784	533.539	906.074	608.297	894.877	1331.4	540.601
GH	MADLP	TACLP	594.998	506.846	178.259	752.815	906.074	630.513	1080.32	1322.4	539.601
GH	OH	OL	273.525	229.511	601.023	382.737	392.951	604.49	12.3812	61.6752	559.816
GH	OH	TACHP	576.359	529.162	164.537	534.483	392.951	608.297	899.646	807.492	559.816
GH	OH	TACLP	582.501	513.026	181.656	752.815	392.951	631.347	1083.51	797.381	559.79
GH	OL	TACHP	547.538	544.356	168.405	534.122	382.737	607.297	910.887	762.336	604.462
GH	OL	TACLP	555.376	529.915	184.297	752.815	382.737	631.513	1097.76	755.351	604.49
GH	TACHP	TACLP	131.711	109.433	684.359	752.815	531.759	631.513	177.786	-19.1118	608.297
GL	MADHP	MADLP	118.443	121.619	940.502	956.225	924.637	739.306	134.903	105.905	742.441
GL	MADHP	OH	204.808	191.631	690.559	441.398	924.637	755.809	-61.7691	440.559	742.441
GL	MADHP	OL	243.083	199.129	690.235	417.264	924.637	786.821	-74.2428	479.284	742.441
GL	MADHP	TACHP	523.762	585.929	166.241	458.838	924.637	682.204	879.66	1282.13	742.441
GL	MADHP	TACLP	524.886	582.918	179.136	659.666	924.637	686.221	1062.29	1270.59	742.441
GL	MADLP	OH	189.5	173.146	728.987	441.398	956.225	755.809	-121.415	414.698	739.306
GL	MADLP	OL	233.014	185.883	714.197	417.264	956.225	786.821	-110.222	473.374	739.306
GL	MADLP	TACHP	535.732	594.724	159.782	458.775	956.225	682.204	894.079	1331.4	739.306
GL	MADLP	TACLP	538.363	593.218	171.599	659.666	956.225	686.221	1080.32	1322.4	739.306
GL	OH	OL	264.671	233.894	639.82	417.264	441.398	786.821	12.3812	61.6752	755.809
GL	OH	TACHP	526.175	601.52	162.004	460.022	441.398	682.204	899.941	807.492	755.809
GL	OH	TACLP	526.129	597.338	172.935	659.666	441.398	686.221	1083.51	797.381	755.809
GL	OL	TACHP	506.21	612.332	161.492	460.105	417.264	682.204	911.162	762.336	786.821
GL	OL	TACLP	507.841	609.827	171.176	659.666	417.264	686.221	1097.76	755.351	786.821
